Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6583379782	0.0150029128	3.5338301659
0.6583958443	0.0140608214	3.5343375206
t=0
0.6584537032	0.0131608788	3.5348222256
0.6585116035	0.0125451805	3.5351538658
0.6585694454	0.0121419681	3.5353710651
0.6586273367	0.0115613025	3.5356838703
0.6586851974	0.0110479398	3.5359604359
0.6587430735	0.0106647080	3.5361669064
0.6588009385	0.0101943193	3.5364203453
0.6588588035	0.0098066982	3.5366292000
0.6589167062	0.0096420972	3.5367178917
0.6589745445	0.0092894537	3.5369079113
0.6590324240	0.0089713354	3.5370793343
0.6590902794	0.0086771185	3.5372378826
0.6591481456	0.0083413245	3.5374188423
0.6592060174	0.0080639394	3.5375683308
0.6592639037	0.0078392057	3.5376894474
0.6593217556	0.0076317303	3.5378012657
0.6593796433	0.0073070345	3.5379762650
0.6594375057	0.0070964750	3.5380897522
0.6594953841	0.0069186538	3.5381855965
0.6595532349	0.0066651977	3.5383222103
0.6596111142	0.0065563861	3.5383808613
0.6596689864	0.0063029407	3.5385174751
0.6597268652	0.0060716169	3.5386421680
0.6597847173	0.0060216375	3.5386691093
0.6598426081	0.0058765663	3.5387473106
0.6599004566	0.0057549383	3.5388128757
0.6599583571	0.0057628993	3.5388085842
0.6600162140	0.0056129675	3.5388894081
0.6600740916	0.0055121295	3.5389437675
0.6601319458	0.0054201381	3.5389933586
0.6601898242	0.0053303591	3.5390417576
0.6602476974	0.0054453476	3.5389797688
0.6603055573	0.0054272148	3.5389895439
0.6603634349	0.0055824509	3.5389058590
0.6604213184	0.0058880658	3.5387411118
0.6604791476	0.0063737100	3.5384793282
0.6605370564	0.0072114859	3.5380277634
0.6605949188	0.0085306773	3.5373167992
0.6606527895	0.0105023030	3.5362544060
0.6607106496	0.0129107879	3.5349569321
0.6607685164	0.0169073213	3.5328047276
0.6608263848	0.0229061190	3.5295760632
0.6608842819	0.0315489955	3.5249280930
0.6609421462	0.0445424616	3.5179488659
0.6609999983	0.0635388866	3.5077633858
0.6610578839	0.0957328081	3.4905507565
0.6611157556	0.2306155860	3.4191014767
0.6611736200	0.5997413397	3.2289640903
0.6612314915	1.0791556835	2.9933896065
0.6612893751	1.6493281126	2.7290930748
0.6613472181	2.2205183506	2.4806103706
0.6614050970	2.7885096073	2.2486901283
0.6614629604	3.4466173649	1.9976739883
0.6615208555	4.0898447037	1.7694661617
0.6615787116	4.6874976158	1.5715742111
0.6616365846	5.3635845184	1.3630115986
0.6616944446	6.0224890709	1.1742978096
0.6617523096	6.6142430305	1.0162118673
0.6618101817	7.2586593628	0.8554907441
0.6618680673	7.9043745995	0.7055968046
0.6619259381	8.4723682404	0.5823579431
0.6619837905	9.0541210175	0.4639520943
0.6620416606	9.6301059723	0.3540314436
0.6620995484	10.1390552521	0.2625952065
0.6621574014	10.6770648956	0.1714043170
0.6622152718	11.2111082077	0.0861255303
0.6622731481	11.6527080536	0.0193363149
