Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.5790565113	0.0075193685	3.5378618240
0.5791143839	0.0074454932	3.5379016399
0.5791722676	0.0073702917	3.5379421711
0.5792301217	0.0073632142	3.5379459858
0.5792879879	0.0073614446	3.5379469395
0.5793458767	0.0073831202	3.5379352570
0.5794037313	0.0073610023	3.5379471779
0.5794615964	0.0072535095	3.5380051136
0.5795194558	0.0073065921	3.5379765034
0.5795773120	0.0073127854	3.5379731655
t=0
0.5796351869	0.0073375572	3.5379598141
0.5796930611	0.0072928793	3.5379838943
0.5797509199	0.0072999569	3.5379800797
0.5798087927	0.5185420513	3.2701227665
0.5798666651	3.2690901756	2.0635869503
0.5799245214	6.3585324287	1.0832496881
0.5799823993	10.5682182312	0.1894157082
0.5800402651	12.4628381729	-0.0949775130
0.5800981197	13.1457519531	-0.1836527288
0.5801560070	12.8170175552	-0.1418075860
0.5802138783	13.5304365158	-0.2307160199
0.5802717448	14.6863403320	-0.3605985343
0.5803295904	15.8990058899	-0.4800485373
0.5803874748	16.6038608551	-0.5424232483
0.5804453441	16.8729038239	-0.5649712682
0.5805032065	17.8773307800	-0.6434324980
0.5805610788	18.5998477936	-0.6946904063
0.5806189431	19.0860748291	-0.7269374728
0.5806768150	19.4116230011	-0.7475735545
0.5807346672	19.6204986572	-0.7604258060
0.5807925502	19.9148616791	-0.7780385017
0.5808504205	20.3638095856	-0.8038142323
0.5809082740	20.3841438293	-0.8049514294
0.5809661544	20.4295997620	-0.8074845076
0.5810240227	20.3858165741	-0.8050448895
0.5810818840	20.4809780121	-0.8103320599
0.5811397698	20.6080245972	-0.8173041940
0.5811976215	20.6378383636	-0.8189260364
0.5812554856	20.5854606628	-0.8160731196
0.5813133602	20.5467987061	-0.8139564991
0.5813712284	20.4574279785	-0.8090288639
0.5814290789	20.3168430328	-0.8011775613
0.5814869638	20.1761760712	-0.7931978106
0.5815448254	20.0462532043	-0.7857158780
0.5816026826	19.8443813324	-0.7738738656
0.5816605719	19.6604576111	-0.7628507018
0.5817184215	19.4394245148	-0.7493015528
0.5817762898	19.3033618927	-0.7407938242
0.5818341652	18.9802894592	-0.7200694084
0.5818920228	18.7943916321	-0.7078024149
0.5819499058	18.6076126099	-0.6952192187
0.5820077654	18.1999588013	-0.6668305993
0.5820656523	17.9788703918	-0.6508873105
0.5821234881	17.7353286743	-0.6328649521
0.5821813552	17.3629512787	-0.6043469906
0.5822392299	17.0463428497	-0.5791532397
0.5822971012	16.8885746002	-0.5662640333
0.5823549686	16.4804420471	-0.5318517089
0.5824128492	16.1175651550	-0.4999151826
0.5824707013	16.0500278473	-0.4938275516
0.5825285754	15.5063428879	-0.4431199133
0.5825864278	15.2409887314	-0.4172351062
0.5826443300	14.8865404129	-0.3814456165
0.5827021875	14.6523656845	-0.3570143878
0.5827600410	14.4357700348	-0.3338434696
0.5828179384	14.1025991440	-0.2970938087
0.5828757803	13.6134099960	-0.2406057566
0.5829336662	13.3186082840	-0.2050497532
0.5829915358	13.0177221298	-0.1675372571
0.5830494073	12.7389450073	-0.1316426843
0.5831072925	12.2894201279	-0.0713662878
0.5831651478	12.0408020020	-0.0367118903
0.5832229993	11.9172344208	-0.0191282872
0.5832808715	11.6993446350	0.0124725644
0.5833387532	11.1958265305	0.0884960666
0.5833966225	11.0140352249	0.1170068234
0.5834545003	10.7323455811	0.1623398066
0.5835123506	10.5361967087	0.1947561055
0.5835702434	10.1711301804	0.2570042610
0.5836281066	9.7152442932	0.3383728862
0.5836859666	9.5519409180	0.3685387075
0.5837438354	9.4115200043	0.3949192762
0.5838017022	9.2665596008	0.4225884676
0.5838595712	8.8289337158	0.5088783503
0.5839174417	8.5944528580	0.5568705201
0.5839753428	8.3258991241	0.6133964062
0.5840331992	8.0805978775	0.6665248871
0.5840910550	7.8050265312	0.7279640436
0.5841489355	7.5690283775	0.7820984721
0.5842068066	7.4812326431	0.8026030064
0.5842646686	7.0658125877	0.9023856521
0.5843225417	6.7980980873	0.9691768289
0.5843804020	6.7359809875	0.9849605560
0.5844382903	6.4547233582	1.0578079224
0.5844961551	6.1044945717	1.1517641544
0.5845540402	5.9128274918	1.2047538757
0.5846118982	5.7199058533	1.2592436075
0.5846697635	5.5404782295	1.3109824657
0.5847276302	5.4664850235	1.3326213360
0.5847855046	5.2129707336	1.4081252813
0.5848433902	4.9825997353	1.4786077738
0.5849012397	4.9069428444	1.5021518469
0.5849591207	4.6749582291	1.5755925179
0.5850169948	4.4647789001	1.6437863111
0.5850748552	4.3276209831	1.6891554594
0.5851327165	4.1815037727	1.7382558584
0.5851906020	3.8760347366	1.8435184956
0.5852484816	3.8775210381	1.8429976702
0.5853063370	3.7072718143	1.9032255411
0.5853642048	3.4849560261	1.9836095572
0.5854220675	3.3122756481	2.0474328995
0.5854799457	3.2617378235	2.0663449764
0.5855378109	3.0556023121	2.1445949078
0.5855956962	2.8992245197	2.2051651478
0.5856535472	2.8101024628	2.2401592731
0.5857114353	2.7193398476	2.2761559486
0.5857693039	2.6051406860	2.3219671249
0.5858271701	2.5508060455	2.3439686298
0.5858850419	2.4177923203	2.3983941078
0.5859429091	2.2737579346	2.4582440853
0.5860007844	2.0874807835	2.5370829105
0.5860586392	1.9619442225	2.5911431313
0.5861165355	1.8520482779	2.6390917301
0.5861743757	1.7385286093	2.6892406940
0.5862322446	1.7074902058	2.7030630112
0.5862901289	1.5601242781	2.7693443298
0.5863479891	1.4170203209	2.8347570896
