Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6362672584	0.0013721230	NaN
0.6363251023	0.0014260551	NaN
0.6363829680	0.0013681444	NaN
0.6364408600	0.0013394103	NaN
0.6364987202	0.0014304757	NaN
0.6365565852	0.0014985545	NaN
0.6366144583	0.0013204016	NaN
0.6366723188	0.0014256131	NaN
0.6367302178	0.0013703548	NaN
0.6367880698	0.0013747754	NaN
0.6368459374	0.0014004152	NaN
0.6369038151	0.0014516951	NaN
0.6369616825	0.0013712388	NaN
0.6370195550	0.0013283587	NaN
0.6370774214	0.0013509039	NaN
0.6371352895	0.0014631889	NaN
0.6371931535	0.0014530213	NaN
0.6372510265	0.0014017414	NaN
0.6373089147	0.0013575349	NaN
0.6373667664	0.0013451572	NaN
0.6374246369	0.0013849429	NaN
0.6374825253	0.0013089080	NaN
0.6375403753	0.0013562087	NaN
0.6375982398	0.0012929938	NaN
0.6376561180	0.0013429468	NaN
0.6377139826	0.0013120024	NaN
0.6377718592	0.0012677963	NaN
0.6378297150	0.0014605364	NaN
0.6378876018	0.0012837105	NaN
0.6379454782	0.0012987405	NaN
0.6380033370	0.0013040453	NaN
0.6380611953	0.0013721230	NaN
0.6381190863	0.0013610714	NaN
0.6381769315	0.0014242869	NaN
0.6382348069	0.0014552316	NaN
0.6382926923	0.0013814064	NaN
0.6383505428	0.0014269393	NaN
0.6384084314	0.0013000667	NaN
0.6384662983	0.0013102342	NaN
0.6385241512	0.0013562087	NaN
0.6385820207	0.0014596523	NaN
0.6386399155	0.0012739851	NaN
0.6386977759	0.0012921096	NaN
0.6387556323	0.0013327793	NaN
0.6388135123	0.0012280110	NaN
0.6388713757	0.0012452513	NaN
0.6389292635	0.0012240325	NaN
0.6389871102	0.0012280110	NaN
0.6390450019	0.0012112128	NaN
0.6391028605	0.0012558607	NaN
0.6391607196	0.0013301270	NaN
0.6392186083	0.0013371999	NaN
0.6392764619	0.0013168651	NaN
0.6393343270	0.0013871533	NaN
0.6393922123	0.0013597453	NaN
0.6394500843	0.0013597453	NaN
0.6395079638	0.0013009509	NaN
0.6395658206	0.0014234027	NaN
0.6396236833	0.0015073959	NaN
0.6396815526	0.0015065117	NaN
0.6397394370	0.0014618627	NaN
0.6397972912	0.0014733565	NaN
0.6398551670	0.0013579769	NaN
0.6399130420	0.0013822905	NaN
0.6399709027	0.0014879447	NaN
0.6400287927	0.0014883869	NaN
0.6400866367	0.0014596523	NaN
0.6401445347	0.0014437378	NaN
0.6402023885	0.0012779637	NaN
0.6402602578	0.0012916676	NaN
0.6403181226	0.0012921096	NaN
0.6403760058	0.0012872469	NaN
0.6404338654	0.0013031611	NaN
0.6404917281	0.0013495778	NaN
0.6405496063	0.0013902477	NaN
0.6406074862	0.0014371068	NaN
0.6406653556	0.0014167717	NaN
0.6407232251	0.0013221698	NaN
0.6407810964	0.0012479037	NaN
0.6408389598	0.0013009509	NaN
0.6408968301	0.0012602813	NaN
0.6409546928	0.0013226119	NaN
0.6410125726	0.0013349897	NaN
0.6410704538	0.0013601873	NaN
0.6411283114	0.0013089080	NaN
0.6411861699	0.0013155389	NaN
0.6412440436	0.0013226119	NaN
0.6413019028	0.0013416206	NaN
0.6413597870	0.0013133286	NaN
0.6414176490	0.0013283587	NaN
0.6414755133	0.0013495778	NaN
0.6415333954	0.0013234960	NaN
0.6415912705	0.0014096986	NaN
0.6416491413	0.0013517881	NaN
