Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6391827825	0.0560557581	3.5117731094
0.6392406592	0.0511771515	3.5143890381
0.6392985261	0.0454473272	3.5174632072
0.6393564071	0.0392177217	3.5208077431
0.6394142821	0.0329356454	3.5241827965
0.6394721557	0.0293102283	3.5261316299
t=0
0.6395300173	0.0249070525	3.5284996033
0.6395878694	0.0197183993	3.5312914848
0.6396457532	0.0158273242	3.5333862305
0.6397036253	0.0135189854	3.5346293449
0.6397614954	0.0122928936	3.5352897644
0.6398193696	0.0110346638	3.5359675884
0.6398772401	0.0101615740	3.5364379883
0.6399351012	0.0093956441	3.5368506908
0.6399929578	0.0086895060	3.5372312069
0.6400508288	0.0081594968	3.5375168324
0.6401087170	0.0078166444	3.5377016068
0.6401665884	0.0076020914	3.5378172398
0.6402244581	0.0075658169	3.5378367901
0.6402823303	0.0076211132	3.5378069878
0.6403401908	0.0078891953	3.5376625061
0.6403980589	0.0080254506	3.5375890732
0.6404559381	0.0084510418	3.5373597145
0.6405138062	0.0087930337	3.5371754169
0.6405716810	0.0090505322	3.5370366573
0.6406295459	0.0094513940	3.5368206501
0.6406874038	0.0097876713	3.5366394520
0.6407452923	0.0102257365	3.5364034176
0.6408031496	0.0103726480	3.5363242626
0.6408610116	0.0105350493	3.5362367630
0.6409189136	0.0105664684	3.5362198353
0.6409767687	0.0105585027	3.5362241268
0.6410346326	0.0104120309	3.5363030434
0.6410924966	0.0102987494	3.5363640785
0.6411503669	0.0100137815	3.5365176201
0.6412082509	0.0099297082	3.5365629196
0.6412661231	0.0097628925	3.5366528034
0.6413239769	0.0094580306	3.5368170738
0.6413818598	0.0093717510	3.5368635654
0.6414397165	0.0092142373	3.5369484425
0.6414975759	0.0090430100	3.5370407104
0.6415554615	0.0090553984	3.5370340347
0.6416133220	0.0093106916	3.5368964672
0.6416711911	0.0101075899	3.5364670753
0.6417290742	0.0116533563	3.5356342793
0.6417869490	0.0139505919	3.5343968868
0.6418448164	0.0189835448	3.5316870213
0.6419026877	0.0294503570	3.5260562897
0.6419605527	0.0461372547	3.5170929432
0.6420184298	0.0832366422	3.4972245693
0.6420762942	0.3782693744	3.3421065807
0.6421341605	1.2988158464	2.8895790577
0.6421920521	2.5295319557	2.3526194096
0.6422498973	4.1036481857	1.7647457123
0.6423077664	5.9661026001	1.1899114847
0.6423656347	7.8891410828	0.7090104818
0.6424235183	10.0641880035	0.2757230103
0.6424813807	12.4651784897	-0.0952930525
0.6425392593	14.6854314804	-0.3605027795
0.6425971300	16.9011211395	-0.5672973394
0.6426550040	19.2974185944	-0.7404192090
0.6427128608	21.3992099762	-0.8585740328
0.6427707355	23.3090038300	-0.9444306493
0.6428286149	25.2452735901	-1.0147172213
0.6428865097	27.0355949402	-1.0675250292
0.6429443366	28.5186138153	-1.1039685011
0.6430022148	29.9598445892	-1.1340668201
0.6430600839	31.3616428375	-1.1590584517
0.6431179655	32.4828758240	-1.1764245033
0.6431758218	33.4939575195	-1.1903314590
0.6432337029	34.5326652527	-1.2030793428
0.6432915794	35.3648223877	-1.2122811079
0.6433494682	36.0830726624	-1.2195664644
0.6434073162	36.7692527771	-1.2260034084
0.6434652057	37.3774719238	-1.2313123941
