Day fraction since midnight on 	pH probe (pH)	Source pressure (Pa)
0.6332072800	7.7311720848	0.0000000000
0.6332188461	7.7343883514	0.0000000000
0.6332304193	7.7440633774	0.0000000000
0.6332419934	7.7402515411	0.0000000000
0.6332535675	7.7403607368	0.0000000000
0.6332651420	7.7355365753	0.0000000000
0.6332767168	7.7405467033	0.0000000000
0.6332882937	7.7431316376	0.0000000000
0.6332998642	7.7481250763	0.0000000000
0.6333114378	7.7534489632	0.0000000000
0.6333230075	7.7517938614	0.0000000000
0.6333345872	7.7500939369	0.0000000000
0.6333461598	7.7472715378	0.0000000000
0.6333577348	7.7465610504	0.0000000000
0.6333693087	7.7451882362	0.0000000000
0.6333808842	7.7540917397	0.0000000000
0.6333924577	7.7506003380	0.0000000000
0.6334040418	7.7537817955	0.0000000000
0.6334156059	7.7552061081	0.0000000000
0.6334271790	7.7537932396	0.0000000000
0.6334387527	7.7582097054	0.0000000000
0.6334503276	7.7585034370	0.0000000000
0.6334619006	7.7579021454	0.0000000000
0.6334734775	7.7566423416	0.0000000000
0.6334850485	7.7558207512	0.0000000000
0.6334966229	7.7456650734	0.0000000000
0.6335081972	7.7497491837	0.0000000000
0.6335197718	7.7535405159	0.0000000000
0.6335313428	7.7554488182	0.0000000000
0.6335429203	7.7547121048	0.0000000000
0.6335544938	7.7571687698	0.0000000000
0.6335660678	7.7560086250	0.0000000000
0.6335776410	7.7613835335	0.0000000000
0.6335892187	7.7588481903	0.0000000000
0.6336007884	7.7601547241	0.0000000000
0.6336123635	7.7613124847	0.0000000000
0.6336239324	7.7621173859	0.0000000000
0.6336355136	7.7620363235	0.0000000000
0.6336470853	7.7629671097	0.0000000000
t = 0
0.6336586554	7.7666907310	0.0000000000
0.6336702369	7.7645697594	0.0000000000
0.6336818223	7.7666206360	0.0000000000
0.6336933831	7.7622747421	0.0000000000
0.6337049699	7.7632079124	0.0000000000
0.6337165301	7.7678337097	0.0000000000
0.6337281055	7.7702569962	0.0000000000
0.6337396749	7.7696938515	0.0000000000
0.6337512529	7.7660346031	0.0000000000
0.6337628281	7.7638769150	0.0000000000
0.6337743938	7.7623562813	0.0000000000
